"lat"	"lon"	"elevation"	"timestamps"
65.4435422178358	-19.6774356812239	509.7	2023-03-24 10:09:02
65.4435511026531	-19.6774327475578	509.68	2023-03-24 10:09:03
65.4436251986772	-19.6773160714656	508.18	2023-03-24 10:09:14
65.4436858836561	-19.6771076973528	511.35	2023-03-24 10:09:26
65.4436966963112	-19.677076516673	512.1	2023-03-24 10:09:28
65.4437080118805	-19.6770470961928	511.28	2023-03-24 10:09:30
65.4437723010778	-19.6767714153975	512.32	2023-03-24 10:09:49
65.4438476543874	-19.6764907892793	513.26	2023-03-24 10:10:08
65.4438980296254	-19.6762947365642	514.31	2023-03-24 10:10:22
65.4439467284828	-19.6760778129101	515.73	2023-03-24 10:10:38
65.4439965169877	-19.67594797723	516.49	2023-03-24 10:10:51
65.4440544359386	-19.6757593844086	518.06	2023-03-24 10:11:07
65.4441333934665	-19.6755758207291	520.82	2023-03-24 10:11:26
65.4441816732287	-19.6752313245088	523.4	2023-03-24 10:11:44
65.4441934078932	-19.6750054322183	522.85	2023-03-24 10:11:54
65.4442505724728	-19.6746162604541	520.48	2023-03-24 10:12:11
65.4442678391933	-19.6743271686137	518.96	2023-03-24 10:12:26
65.4443075694144	-19.6740428544581	518.78	2023-03-24 10:12:45
65.4443239979446	-19.6738659963012	520.62	2023-03-24 10:13:03
65.4443536698818	-19.6736774872988	520.74	2023-03-24 10:13:28
65.4443954955786	-19.6734304726124	522.22	2023-03-24 10:13:44
65.4443903826177	-19.673442626372	522.09	2023-03-24 10:14:01
65.4444389976561	-19.6732795145363	521.45	2023-03-24 10:14:11
65.4444512352347	-19.6730665303767	522.3	2023-03-24 10:14:19
65.4445113334805	-19.6729803644121	521.42	2023-03-24 10:14:25
65.4445736948401	-19.6728636045009	522.2	2023-03-24 10:14:32
65.4445817414671	-19.6728161629289	522.19	2023-03-24 10:14:34
65.4445981699973	-19.6727562323213	523.53	2023-03-24 10:14:37
65.4447386506945	-19.6723886020482	523.15	2023-03-24 10:14:54
65.4448464419693	-19.6720215585083	523.58	2023-03-24 10:15:10
65.4449043609202	-19.6717530861497	523.45	2023-03-24 10:15:22
65.4449095577002	-19.6717323828489	523.44	2023-03-24 10:15:23
65.4449444264174	-19.6714951749891	523.34	2023-03-24 10:15:33
65.444964710623	-19.6713986992836	523.09	2023-03-24 10:15:37
65.4450129065663	-19.6712560392916	521.69	2023-03-24 10:15:52
65.4449987411499	-19.6712283790112	522.07	2023-03-24 10:17:04
65.4449759423733	-19.6712590567768	518.28	2023-03-24 10:17:09
65.4449696559459	-19.671272886917	523.2	2023-03-24 10:17:11
65.4449687339365	-19.6712881419808	518.8	2023-03-24 10:17:15
65.4449693206698	-19.6712921652943	520.65	2023-03-24 10:17:16
65.4449702426791	-19.6712910756469	524.19	2023-03-24 10:17:17
65.4449697397649	-19.6712927520275	523.99	2023-03-24 10:17:18
65.4449693206698	-19.6712961886078	521.78	2023-03-24 10:17:21
65.4449742659926	-19.6713030617684	521.52	2023-03-24 10:17:52
65.4449848271906	-19.6712609007955	519.09	2023-03-24 10:18:11
65.4450036026537	-19.6712419576943	520.25	2023-03-24 10:18:18
65.4450067877769	-19.6712558716536	513.1	2023-03-24 10:18:36
65.4450046084821	-19.6712572965771	513.09	2023-03-24 10:18:37
65.445006871596	-19.6712619066238	529.86	2023-03-24 10:18:38
65.4450021777302	-19.6712617389858	524.55	2023-03-24 10:18:39
65.4450011719018	-19.6712643373758	521.24	2023-03-24 10:18:41
65.445001590997	-19.6712652593851	521.1	2023-03-24 10:18:42
65.4449998307973	-19.6712681092322	516.2	2023-03-24 10:18:53
65.4450006689876	-19.6712659299374	512.41	2023-03-24 10:18:54
65.4449983220547	-19.671267606318	513.92	2023-03-24 10:18:55
65.4449976515025	-19.6712683606893	521.79	2023-03-24 10:18:56
65.4449983220547	-19.6712598949671	520.58	2023-03-24 10:18:57
65.4450033511966	-19.6712613198906	518.54	2023-03-24 10:19:04
65.4450086317956	-19.671270204708	514.51	2023-03-24 10:19:12
65.4450067877769	-19.6712726354599	519.08	2023-03-24 10:19:13
65.4450063686818	-19.6712750662118	514.27	2023-03-24 10:19:15
65.4450062848628	-19.6712710428983	520.72	2023-03-24 10:19:17
65.4450064525008	-19.6712670195848	519.07	2023-03-24 10:19:18
65.4450065363199	-19.6712647564709	518.15	2023-03-24 10:19:20
65.4450097214431	-19.6712679415941	520.3	2023-03-24 10:19:23
65.4449979867786	-19.6712972782552	519.36	2023-03-24 10:19:29
65.4450187738985	-19.6712899021804	516.01	2023-03-24 10:19:40
65.4450194444507	-19.6712925843894	516.68	2023-03-24 10:19:41
65.4450192768127	-19.6712962724268	521.67	2023-03-24 10:19:42
65.4450217913836	-19.6712978649884	520.71	2023-03-24 10:19:43
65.4450229648501	-19.6713038999587	519.23	2023-03-24 10:19:45
65.4450314305723	-19.6713308058679	519.07	2023-03-24 10:20:16
65.4450272396207	-19.6712838672101	513.95	2023-03-24 10:20:36
65.4450278263539	-19.6712881419808	517.35	2023-03-24 10:20:37
65.4450294189155	-19.6712893992662	523.97	2023-03-24 10:20:38
65.4450291674584	-19.6712867170572	523.97	2023-03-24 10:20:39
65.4450301732868	-19.6712879743427	518.55	2023-03-24 10:20:40
65.4450323525816	-19.6712885610759	506.81	2023-03-24 10:20:42
65.4450341127813	-19.6712901536375	517.05	2023-03-24 10:20:43
65.4450338613242	-19.6712878905237	524.62	2023-03-24 10:20:44
65.4450342804193	-19.6712894830853	522.62	2023-03-24 10:20:45
65.4450326878577	-19.6712909080088	519.51	2023-03-24 10:20:46
65.4450310114771	-19.671296607703	518.72	2023-03-24 10:20:48
65.4450340289623	-19.6713043190539	518.75	2023-03-24 10:20:54
65.4450508765876	-19.6713203284889	518.35	2023-03-24 10:21:23
65.4450515471399	-19.6713190712035	519.78	2023-03-24 10:21:40
65.4450161755085	-19.6712577156723	518.81	2023-03-24 10:22:05
65.4449703264982	-19.6711231861264	518.49	2023-03-24 10:22:25
65.444890614599	-19.6709194220603	516.52	2023-03-24 10:22:38
65.4448522254825	-19.6708443202078	516.34	2023-03-24 10:22:43
65.4447510559112	-19.6705799549818	513.89	2023-03-24 10:23:00
65.444729346782	-19.6705341897905	513.28	2023-03-24 10:23:03
65.4446874372661	-19.6704289969057	512.52	2023-03-24 10:23:09
65.4446544963866	-19.6702911984175	508.44	2023-03-24 10:23:15
65.4446482099593	-19.6702725905925	512.43	2023-03-24 10:23:16
65.4445616248995	-19.6700190380216	510.42	2023-03-24 10:23:28
65.4444583598524	-19.6697680000216	509.29	2023-03-24 10:23:43
65.4444407578558	-19.6695032995194	507.88	2023-03-24 10:23:58
65.444428017363	-19.6694397646934	509.6	2023-03-24 10:24:02
65.4444169532508	-19.6694058179855	509.76	2023-03-24 10:24:04
65.4443389177322	-19.6691170614213	508.52	2023-03-24 10:24:18
65.4443226568401	-19.6690763253719	509.4	2023-03-24 10:24:21
65.4443106707186	-19.669013377279	509.76	2023-03-24 10:24:24
65.4442783165723	-19.6689370181412	509.43	2023-03-24 10:24:32
65.444219391793	-19.6687254589051	509.34	2023-03-24 10:24:41
65.4441863670945	-19.6686371974647	509.02	2023-03-24 10:24:46
65.4440997820348	-19.6683779451996	508.25	2023-03-24 10:25:02
65.4440960939974	-19.6683775261045	511.23	2023-03-24 10:25:10
